04-15-2026 20:02:12.671,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"
04-15-2026 19:37:51.593,641,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:37:58.188,642,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:37:59.796,643,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:01.393,644,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:08.015,645,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:09.599,646,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:11.204,647,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:17.414,648,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:18.999,649,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:20.605,650,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:22.217,651,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:28.802,652,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:30.380,653,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:31.997,654,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:38.578,655,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:40.190,656,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:41.809,657,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:48.394,658,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:50.005,659,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:51.590,660,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:58.185,661,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:38:59.818,662,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:01.402,663,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:07.981,664,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:09.594,665,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:11.218,666,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:17.391,667,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
